date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
2014/5/20,21.589643,21.657143,21.454643,21.596786,234836000,73.42146863,70.46858989,123.1578892,173.9833197,19.78426434,20.12350231,19.43298218,19.57251221,0.511638983,21.0041965,0.2025,0.30529773,0.319087812,21.653929
2014/5/21,21.565357,21.667856,21.502144,21.653929,196859600,74.88998906,71.16914218,90.19170714,144.861342,19.83442152,20.18351909,19.44812861,19.61376676,0.511794805,21.14983935,0.165712,0.285356912,0.308132397,21.688213
2014/5/22,21.664286,21.780357,21.575001,21.688213,200760000,75.82494619,71.60437431,84.78592887,135.0203825,19.88489294,20.24252675,19.4649786,19.65488238,0.508819375,21.220375,0.205356,0.27392821,0.300791226,21.933214
2014/5/23,21.6875,21.954643,21.659643,21.933214,232209600,81.55185895,74.55995191,112.5937106,147.8320673,19.9445215,20.30882826,19.48626789,19.70003821,0.520233925,21.2957142,0.295,0.276938466,0.300377567,22.343929
2014/5/27,21.995714,22.352142,21.986786,22.343929,348866000,87.39287753,78.58418339,172.8549016,181.4865147,20.01662148,20.38863619,19.5093429,19.75243838,0.556011947,21.3520356,0.418928,0.297222685,0.308845455,22.286072
2014/5/28,22.357857,22.493929,22.277857,22.286072,315481600,83.07028959,76.74255786,130.2119212,162.2431291,20.08610006,20.4630455,19.5346572,19.80265246,0.573091469,21.4086071,0.216072,0.28562973,0.30221878,22.692142
2014/5/29,22.423214,22.745358,22.420357,22.692142,376474000,87.95042051,80.24227398,119.0971337,169.923051,20.16037148,20.55046111,19.56837147,19.85991827,0.612334953,21.4894821,0.459286,0.310437768,0.313437867,22.607143
2014/5/30,22.785,23.006071,22.460714,22.607143,564020800,82.16632436,77.60967723,97.48694386,143.7160422,20.2330429,20.63111535,19.60018219,19.91436367,0.629322548,21.5636249,0.545357,0.343997659,0.330003519,22.451786
2014/6/2,22.64143,22.672501,22.232143,22.451786,369350800,72.06076716,72.90184146,41.20626539,89.87419987,20.30443576,20.70251425,19.63182861,19.96465032,0.623067,21.6280357,0.440358,0.357763422,0.337885982,22.769285
2014/6/3,22.445,22.812143,22.4375,22.769285,292709200,78.39595846,76.09350793,77.04884458,100.2844201,20.37920004,20.78356413,19.6654286,20.02023169,0.636393007,21.69335715,0.374643,0.36017479,0.340511483,23.029285
2014/6/4,22.765715,23.138929,22.718214,23.029285,335482000,82.24275065,78.34303388,136.6461649,116.1852572,20.45465002,20.87163167,19.70410717,20.07986323,0.660322009,21.7833749,0.420715,0.368823391,0.346240306,23.119642
2014/6/5,23.078571,23.191786,22.950357,23.119642,303805600,83.43839339,79.07977456,138.5028743,116.6715593,20.5277643,20.95978899,19.74496788,20.14010274,0.678752732,21.8816249,0.241429,0.350624193,0.338753784,23.05607
2014/6/6,23.210714,23.259287,23.016787,23.05607,349938400,79.06841173,77.09267822,95.33866429,108.4146978,20.60332856,21.04199613,19.78419643,20.1978878,0.680386412,21.98444625,0.2425,0.335177879,0.331878514,23.424999
2014/6/9,23.174999,23.469999,22.9375,23.424999,301660000,84.54775935,80.20181905,103.7357456,116.5647996,20.68792854,21.13544728,19.82330713,20.26183778,0.703342903,22.110089,0.532499,0.363366611,0.346208549,23.5625
2014/6/10,23.682501,23.762501,23.3925,23.5625,251108000,86.12686483,81.22464554,132.9719354,138.7148114,20.77570712,21.23062586,19.85987499,20.32724433,0.724282195,22.22958895,0.370001,0.364314381,0.347908009,23.465
2014/6/11,23.532499,23.690001,23.3675,23.465,182724000,79.41322471,78.14185623,92.92500333,114.8494603,20.86162138,21.31824842,19.89657856,20.38942181,0.724655917,22.3425533,0.322501,0.358341041,0.346093223,23.0725
2014/6/12,23.51,23.530001,22.975,23.0725,218996000,58.13128613,67.10095665,-19.35221531,58.39482179,20.93617852,21.38704263,19.93420713,20.44258871,0.685379991,22.4356962,0.555001,0.386435321,0.361015207,22.82
2014/6/13,23.049999,23.110001,22.719999,22.82,218100000,48.39697763,61.11824569,-123.9418205,-3.363778509,21.00504282,21.44323707,19.96631069,20.48969797,0.626655206,22.52523195,0.390002,0.386944846,0.363085692,23.049999
2014/6/16,22.877501,23.1875,22.862499,23.049999,142244000,56.19264898,64.24540775,-65.74187448,16.87047635,21.0811928,21.50624737,19.99984281,20.54043059,0.591851887,22.61074975,0.3675,0.384167011,0.363401,23.02
2014/6/17,23.077499,23.174999,22.950001,23.02,118904000,54.9299063,63.52772362,-55.38183003,10.6782656,21.1617214,21.56561024,20.0314071,20.58956286,0.555446496,22.6821247,0.224998,0.361428581,0.353515071,23.045
